1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,EnclosedPorch,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd
1625,0.0,2.0,Gd,1573,Unf,0,0.0,538,Unf,2006.0,1625,Gd,4750,44.0,481.0,0,5,8,1573,0.0,2006,2007
1547,720.0,2.0,None,0,None,0,0.0,672,Unf,1979.0,2320,TA,14762,69.0,0.0,144,6,5,0,0.0,1948,1950
928,0.0,2.0,No,377,Rec,551,0.0,252,Unf,1956.0,928,TA,13300,70.0,0.0,0,7,5,928,0.0,1956,2000
864,0.0,3.0,No,553,Rec,0,0.0,360,Unf,1965.0,864,TA,8281,60.0,0.0,0,5,5,864,0.0,1965,1965
914,0.0,2.0,Av,298,GLQ,572,0.0,576,Unf,1998.0,914,TA,8846,57.0,0.0,0,5,5,870,0.0,1996,1996
2411,2065.0,4.0,Av,2096,GLQ,300,0.0,813,Fin,1996.0,4476,Ex,15623,160.0,0.0,78,5,10,2396,0.0,1996,1996
1610,0.0,3.0,Mn,1200,ALQ,410,0.0,480,RFn,1977.0,1610,Gd,10603,69.0,28.0,68,7,6,1610,0.0,1977,2001
1766,648.0,3.0,No,664,BLQ,290,0.0,520,Unf,1970.0,2414,TA,10800,60.0,0.0,0,4,5,954,0.0,1900,1970
1061,862.0,3.0,No,674,GLQ,76,0.0,564,RFn,1992.0,1923,Gd,10186,107.0,0.0,39,5,7,750,0.0,1992,1992
997,0.0,3.0,No,0,Unf,793,0.0,0,None,1980.0,1517,Fa,8500,85.0,0.0,0,7,5,793,0.0,1919,2005
1228,0.0,2.0,Mn,767,GLQ,461,0.0,472,Fin,1988.0,1228,Gd,4671,40.0,0.0,120,5,8,1228,168.0,1988,1989
989,584.0,3.0,No,0,Unf,884,0.0,240,Unf,1935.0,1573,Gd,6120,51.0,0.0,0,7,4,884,0.0,1935,1995
2042,0.0,3.0,No,0,Unf,2042,0.0,1390,RFn,2009.0,2042,Ex,12704,98.0,306.0,90,5,8,2042,0.0,2008,2009
985,0.0,3.0,Av,595,GLQ,390,0.0,328,Unf,1977.0,985,TA,8385,65.0,220.0,0,8,5,985,0.0,1977,1977
1368,0.0,2.0,No,0,Unf,1368,0.0,474,Unf,2005.0,1368,Gd,6792,40.0,94.0,35,5,7,1368,0.0,2005,2006
1274,0.0,3.0,No,925,GLQ,349,0.0,508,Unf,2005.0,1274,Gd,8814,68.0,80.0,98,5,7,1274,0.0,2005,2007
483,504.0,2.0,No,387,ALQ,96,0.0,264,Unf,1971.0,987,TA,1680,21.0,232.0,0,5,6,483,0.0,1971,1971
988,517.0,3.0,No,399,Rec,484,0.0,240,Unf,1940.0,1505,TA,9144,69.0,0.0,0,5,5,883,0.0,1940,1982
1842,0.0,0.0,Gd,1810,GLQ,32,0.0,894,Fin,1981.0,1842,Gd,50271,68.0,0.0,72,5,9,1842,0.0,1981,1987
789,0.0,2.0,No,0,Unf,768,0.0,200,Unf,1926.0,789,TA,10594,55.0,0.0,0,5,5,768,0.0,1926,1950
1530,0.0,3.0,Av,1300,GLQ,230,0.0,630,Fin,2004.0,1530,Gd,14572,182.0,0.0,36,5,7,1530,144.0,2004,2004
1212,0.0,3.0,Av,506,ALQ,0,0.0,492,Unf,1978.0,1212,TA,8471,88.0,46.0,12,7,6,506,292.0,1977,1995
1266,0.0,3.0,No,0,Unf,1257,0.0,453,Unf,2005.0,1266,Gd,7500,62.0,0.0,144,5,7,1257,0.0,2005,2005
979,979.0,4.0,No,484,Rec,495,0.0,492,Unf,1946.0,1958,TA,7136,82.0,423.0,0,6,6,979,0.0,1946,1950
756,713.0,3.0,No,0,Unf,756,0.0,216,Unf,1906.0,1469,TA,10320,60.0,0.0,0,7,6,756,0.0,1906,1995
672,546.0,3.0,No,356,BLQ,316,0.0,264,Unf,1973.0,1218,TA,1890,21.0,285.0,28,5,6,672,0.0,1973,1973
1145,0.0,2.0,No,16,GLQ,1129,0.0,397,Fin,2005.0,1145,Gd,3182,43.0,11.0,16,5,7,1145,0.0,2005,2006
1867,0.0,2.0,No,379,LwQ,470,0.0,303,Fin,1955.0,1867,TA,10708,69.0,0.0,0,5,5,1617,0.0,1955,1993
954,0.0,3.0,Av,483,ALQ,428,0.0,576,Unf,1976.0,954,TA,10780,55.0,0.0,0,5,5,911,0.0,1976,1976
812,670.0,3.0,No,0,Unf,384,0.0,392,Fin,1992.0,1482,Gd,9125,69.0,170.0,25,5,7,384,0.0,1992,1992
1588,0.0,3.0,Av,0,Unf,1588,0.0,825,Unf,2006.0,1588,Gd,10000,85.0,410.0,45,5,8,1588,0.0,2006,2006
768,664.0,2.0,No,0,Unf,264,0.0,360,Unf,1910.0,1432,TA,9600,60.0,0.0,0,7,5,264,0.0,1910,2002
956,1128.0,4.0,No,656,GLQ,300,0.0,618,RFn,2004.0,2084,Gd,10142,76.0,0.0,45,5,7,956,0.0,2004,2004
672,546.0,3.0,No,317,BLQ,355,0.0,264,Unf,1972.0,1218,TA,1680,21.0,281.0,28,7,6,672,0.0,1972,1972
1086,0.0,3.0,Av,516,ALQ,380,0.0,484,RFn,1966.0,1086,TA,13400,85.0,1047.0,0,5,5,1024,0.0,1966,1966
864,0.0,2.0,No,524,ALQ,160,0.0,576,Unf,1989.0,864,TA,10500,70.0,0.0,0,6,4,864,0.0,1971,1971
1525,0.0,3.0,Av,1400,GLQ,125,0.0,541,RFn,2000.0,1525,Gd,9100,70.0,244.0,36,5,7,1525,0.0,2000,2000
1350,0.0,3.0,No,0,Unf,1064,0.0,478,RFn,1974.0,1350,TA,10140,78.0,174.0,0,5,6,1064,0.0,1974,1974
735,660.0,3.0,No,593,BLQ,130,0.0,497,Unf,1972.0,1395,TA,12936,69.0,0.0,116,6,6,723,0.0,1972,1972
697,672.0,3.0,No,551,BLQ,121,0.0,300,Unf,1930.0,1369,TA,6629,54.0,0.0,0,6,6,672,0.0,1925,1950
1232,0.0,2.0,Av,724,GLQ,508,0.0,632,Unf,2007.0,1232,Gd,7314,64.0,82.0,0,5,7,1232,0.0,2007,2007
786,0.0,3.0,No,0,Unf,768,0.0,676,RFn,2008.0,1590,Gd,9000,75.0,0.0,30,5,8,768,0.0,2008,2008
1121,0.0,2.0,No,0,Unf,1121,0.0,440,RFn,2003.0,1121,TA,8546,80.0,0.0,64,5,4,1121,0.0,2003,2004
1414,0.0,3.0,Av,24,GLQ,1390,0.0,494,RFn,2004.0,1414,Gd,8773,65.0,98.0,105,5,7,1414,0.0,2004,2004
1338,0.0,2.0,Mn,616,GLQ,722,0.0,582,Fin,2001.0,1338,Gd,4920,41.0,0.0,0,5,8,1338,0.0,2001,2001
1632,0.0,4.0,Av,0,Unf,1632,0.0,576,Unf,1967.0,1632,TA,25000,100.0,0.0,0,4,5,1632,0.0,1967,1967
2110,0.0,3.0,No,1065,ALQ,1045,0.0,522,Fin,1968.0,2110,Ex,11160,93.0,0.0,0,5,7,2110,0.0,1968,1968
874,887.0,3.0,No,0,Unf,874,0.0,578,Fin,2007.0,1761,Gd,10207,84.0,0.0,105,6,7,874,0.0,2007,2007
1349,0.0,3.0,No,0,Unf,1349,0.0,539,Unf,2000.0,1349,TA,8450,65.0,108.0,55,5,7,1349,0.0,2000,2001
1548,1066.0,4.0,No,956,ALQ,384,0.0,624,RFn,1974.0,2614,TA,10800,90.0,0.0,243,7,6,1522,0.0,1974,1997
1500,0.0,3.0,Av,1032,GLQ,431,0.0,712,RFn,1994.0,2622,Gd,12256,98.0,362.0,32,5,8,1463,0.0,1994,1995
1584,1208.0,3.0,No,493,LwQ,1017,0.0,520,Unf,1920.0,2792,TA,10440,60.0,0.0,547,7,6,1510,0.0,1920,1950
1502,0.0,1.0,Av,368,GLQ,0,0.0,528,RFn,1985.0,1502,Gd,6820,69.0,0.0,54,5,8,1488,0.0,1985,1985
1036,0.0,3.0,No,375,Rec,457,0.0,288,Unf,1949.0,1268,TA,12144,60.0,0.0,28,7,5,832,0.0,1949,1950
2392,0.0,3.0,Gd,56,GLQ,2336,0.0,968,Fin,2003.0,2392,Ex,13472,103.0,922.0,105,5,10,2392,0.0,2003,2003
1686,0.0,3.0,No,625,BLQ,0,0.0,612,Unf,1980.0,1686,TA,10240,79.0,157.0,131,6,6,1686,0.0,1980,1980
1236,857.0,3.0,No,0,Unf,791,0.0,542,Fin,1986.0,2093,TA,20544,46.0,123.0,63,6,7,791,0.0,1986,1991
1224,0.0,2.0,None,0,None,0,0.0,462,Unf,1962.0,1224,TA,9842,70.0,0.0,0,5,4,0,0.0,1962,1962
1338,1296.0,6.0,No,500,LwQ,748,0.0,968,Unf,1969.0,2634,TA,11643,91.0,368.0,0,5,5,1248,0.0,1969,1969
1630,0.0,3.0,Gd,0,Unf,1622,0.0,860,RFn,2008.0,1630,Ex,10226,61.0,270.0,42,5,8,1622,0.0,2008,2008
1040,0.0,2.0,None,0,None,0,0.0,400,Unf,1987.0,1040,TA,8544,60.0,0.0,0,4,3,0,0.0,1950,1950
1555,0.0,2.0,No,0,Unf,1373,0.0,660,Fin,2007.0,1555,Gd,3684,53.0,130.0,20,5,7,1373,0.0,2007,2007
912,0.0,2.0,No,312,Rec,0,0.0,288,Unf,1964.0,912,TA,7800,66.0,0.0,0,5,5,912,0.0,1964,1964
798,842.0,3.0,No,0,Unf,798,0.0,520,RFn,2004.0,1640,Gd,8366,65.0,0.0,45,5,6,798,0.0,2004,2004
630,0.0,1.0,Av,131,BLQ,0,0.0,0,Unf,1980.0,630,TA,1936,21.0,0.0,0,6,4,630,0.0,1970,1970
1208,0.0,3.0,No,767,ALQ,441,0.0,546,RFn,1977.0,1208,TA,11250,69.0,0.0,42,6,6,1208,0.0,1977,1977
976,732.0,3.0,No,0,Unf,976,0.0,380,Unf,2004.0,1708,Gd,3363,32.0,117.0,40,5,7,976,0.0,2004,2004
734,1104.0,4.0,Av,0,Unf,732,0.0,372,Fin,2005.0,1838,TA,21930,60.0,0.0,40,5,5,732,0.0,2005,2005
992,873.0,3.0,No,735,GLQ,257,0.0,839,Unf,2000.0,1865,Gd,10316,69.0,0.0,184,5,7,992,0.0,2000,2000
1142,878.0,3.0,No,584,GLQ,544,0.0,466,RFn,1995.0,2020,Gd,9828,80.0,0.0,155,5,8,1128,0.0,1995,1995
1520,0.0,3.0,Av,674,BLQ,350,0.0,364,RFn,1955.0,1520,TA,9600,80.0,164.0,0,6,6,1156,0.0,1955,1972
1620,0.0,2.0,Gd,1022,GLQ,598,0.0,912,Fin,2008.0,1620,Ex,12898,89.0,70.0,0,5,9,1620,0.0,2007,2008
810,672.0,3.0,No,156,BLQ,516,0.0,400,Unf,1934.0,1482,Fa,12155,69.0,0.0,0,8,6,672,0.0,1925,1950
1003,0.0,3.0,Av,819,GLQ,184,0.0,588,Unf,1984.0,1003,TA,7937,37.0,0.0,0,6,6,1003,0.0,1984,1984
1664,862.0,5.0,No,168,Rec,0,0.0,216,Unf,1916.0,2526,Gd,8520,60.0,0.0,15,7,6,714,0.0,1916,1950
1664,0.0,4.0,None,0,None,0,0.0,0,None,1980.0,1664,TA,9825,75.0,0.0,0,5,5,0,0.0,1965,1965
1062,887.0,3.0,No,750,GLQ,300,0.0,574,Fin,1993.0,1949,Gd,9938,80.0,246.0,90,5,7,1050,0.0,1993,1994
779,0.0,2.0,No,0,Unf,742,0.0,308,Unf,1988.0,935,TA,9100,50.0,0.0,0,6,5,742,0.0,1930,1960
963,829.0,3.0,No,361,GLQ,602,0.0,564,RFn,2001.0,1792,Gd,12435,80.0,172.0,96,5,7,963,0.0,2001,2001
952,0.0,2.0,Mn,852,ALQ,100,0.0,840,Unf,1988.0,952,TA,7350,60.0,0.0,0,7,5,952,0.0,1951,1951
916,826.0,4.0,No,216,BLQ,700,0.0,424,Unf,1925.0,1742,Gd,17671,121.0,0.0,169,9,8,916,0.0,1882,1986
1294,0.0,3.0,No,1200,GLQ,78,0.0,496,Unf,1991.0,1294,Gd,7153,69.0,88.0,51,5,6,1278,0.0,1991,1991
803,0.0,2.0,Av,116,BLQ,604,244.0,360,Unf,1941.0,803,TA,5000,50.0,0.0,0,6,5,720,0.0,1941,1950
840,534.0,2.0,No,315,ALQ,420,0.0,338,Fin,1967.0,1374,TA,5400,90.0,0.0,0,6,4,840,0.0,1920,1950
780,595.0,3.0,No,0,Unf,780,0.0,544,Unf,1979.0,1375,Gd,9000,50.0,0.0,162,6,6,780,0.0,1937,1950
1922,0.0,3.0,Gd,1249,GLQ,673,0.0,676,Fin,2005.0,1922,Gd,14157,86.0,200.0,51,5,9,1922,0.0,2005,2006
1344,0.0,3.0,No,111,GLQ,354,0.0,525,RFn,1958.0,1344,Gd,14375,69.0,541.0,118,6,6,819,0.0,1958,1958
769,804.0,3.0,No,378,GLQ,378,0.0,440,Unf,2000.0,1573,Gd,2117,69.0,216.0,32,5,6,756,0.0,2000,2000
1103,0.0,2.0,No,397,BLQ,706,0.0,440,Unf,1976.0,1103,Gd,6000,50.0,0.0,120,6,6,1103,0.0,1925,1980
1601,0.0,3.0,Av,1358,GLQ,223,0.0,670,RFn,2001.0,1601,Gd,11423,69.0,479.0,0,5,8,1581,0.0,2001,2002
1973,0.0,3.0,Av,0,Unf,1935,0.0,895,Fin,2006.0,1973,Gd,14226,110.0,375.0,45,5,8,1935,0.0,2006,2006
1181,0.0,3.0,Av,920,BLQ,38,0.0,588,RFn,1974.0,1181,TA,10012,90.0,0.0,0,5,4,1138,0.0,1972,1972
941,888.0,3.0,No,483,GLQ,458,0.0,613,RFn,2003.0,1829,Gd,9548,44.0,223.0,39,6,7,941,0.0,2003,2003
1844,0.0,3.0,Av,1110,Rec,734,216.0,540,RFn,1969.0,1844,Gd,16381,69.0,312.0,73,5,6,1844,0.0,1969,1969
707,682.0,3.0,No,0,Unf,651,0.0,240,Unf,1947.0,1389,TA,3378,60.0,0.0,0,8,7,651,0.0,1946,1992
728,728.0,3.0,No,0,Unf,728,0.0,440,Fin,2006.0,1456,Gd,11103,85.0,0.0,0,5,7,728,0.0,2006,2006
925,550.0,4.0,No,548,ALQ,36,0.0,336,RFn,1977.0,1475,TA,2665,41.0,0.0,26,6,5,757,0.0,1977,1977
1236,0.0,3.0,No,465,BLQ,447,0.0,288,Unf,1961.0,1236,TA,6993,65.0,0.0,0,7,5,912,0.0,1961,1994
630,0.0,1.0,Av,553,GLQ,77,0.0,0,None,1980.0,630,Ex,1533,21.0,0.0,0,7,5,630,0.0,1970,1970
1392,0.0,3.0,No,1040,Rec,352,0.0,458,RFn,1957.0,1392,TA,11900,80.0,387.0,0,5,6,1392,0.0,1957,1957
1464,0.0,3.0,Av,444,ALQ,76,0.0,480,RFn,1997.0,1464,TA,12886,70.0,0.0,0,6,5,520,0.0,1963,1999
960,0.0,0.0,Av,648,GLQ,0,0.0,364,Unf,1965.0,960,TA,10246,69.0,0.0,0,9,4,648,0.0,1965,2001
1196,0.0,2.0,No,197,LwQ,999,0.0,440,Unf,1957.0,1196,TA,4800,40.0,0.0,0,7,4,1196,0.0,1916,1990
970,739.0,3.0,No,0,Unf,970,0.0,380,Unf,2004.0,1709,Gd,2522,24.0,50.0,40,5,7,970,0.0,2004,2004
1644,0.0,3.0,No,1285,GLQ,131,0.0,418,Fin,1953.0,1644,TA,9600,80.0,238.0,0,5,6,1416,0.0,1953,1953
1680,0.0,4.0,No,0,Unf,1680,0.0,528,Unf,1976.0,1680,TA,11500,69.0,164.0,0,6,5,1680,0.0,1976,1976
1182,960.0,3.0,No,448,Rec,448,0.0,509,Fin,1968.0,2142,Gd,13000,100.0,576.0,72,6,6,896,0.0,1968,1968
1120,468.0,4.0,None,0,None,0,0.0,680,Fin,1991.0,1588,TA,17120,80.0,0.0,59,4,4,0,0.0,1959,1959
1097,896.0,4.0,No,416,Rec,409,0.0,495,RFn,1971.0,1993,TA,14803,69.0,252.0,66,5,6,825,0.0,1971,1971
1288,0.0,1.0,No,786,GLQ,474,0.0,500,Fin,1996.0,1288,Ex,14963,38.0,0.0,30,5,8,1260,0.0,1996,1996
1486,0.0,3.0,No,637,BLQ,849,0.0,480,Fin,1968.0,1486,TA,9937,75.0,0.0,0,7,5,1486,0.0,1964,1999
894,1039.0,4.0,Mn,0,Unf,894,0.0,668,Fin,2007.0,1933,Gd,14598,86.0,74.0,18,5,6,894,0.0,2007,2007
875,0.0,2.0,No,209,BLQ,506,0.0,180,Unf,1931.0,875,TA,6120,51.0,0.0,0,7,5,715,0.0,1931,1993
1079,874.0,3.0,Av,985,GLQ,595,0.0,501,Fin,1992.0,1953,Gd,53107,69.0,0.0,231,5,6,1580,0.0,1992,1992
1078,0.0,3.0,No,734,GLQ,344,0.0,500,Fin,1971.0,1078,TA,12537,69.0,0.0,0,6,5,1078,0.0,1971,2008
1604,0.0,3.0,No,1334,GLQ,270,0.0,660,RFn,2006.0,1604,Gd,8814,68.0,180.0,110,5,7,1604,0.0,2006,2006
832,0.0,2.0,No,0,Unf,832,0.0,528,Unf,1962.0,832,Gd,7227,59.0,0.0,0,6,6,832,0.0,1954,1954
764,783.0,3.0,Mn,24,GLQ,732,0.0,614,Unf,2009.0,1547,Gd,8640,72.0,0.0,45,5,7,756,0.0,2009,2009
716,840.0,3.0,No,81,Unf,23,0.0,452,Fin,1980.0,1556,TA,1950,24.0,0.0,0,6,6,716,0.0,1980,1980
1131,0.0,3.0,No,168,Rec,739,0.0,672,Unf,1995.0,1131,TA,5925,50.0,435.0,72,7,4,907,0.0,1937,2000
691,0.0,2.0,No,0,Unf,691,0.0,216,Unf,1920.0,691,Ex,5400,60.0,0.0,20,6,5,691,0.0,1920,1950
1535,0.0,3.0,No,2,GLQ,1515,0.0,532,RFn,2004.0,1535,Gd,10171,70.0,168.0,0,5,7,1517,0.0,2004,2004
820,527.0,3.0,Gd,969,GLQ,148,0.0,0,None,1980.0,1347,TA,7000,70.0,0.0,0,7,5,1117,0.0,1910,1991
1128,903.0,3.0,No,804,GLQ,324,0.0,577,Unf,2002.0,2031,Gd,9473,75.0,0.0,211,5,8,1128,0.0,2002,2002
1301,0.0,2.0,Mn,405,LwQ,740,0.0,440,Unf,1965.0,1301,Fa,6911,60.0,0.0,0,5,5,1145,0.0,1924,1950
1026,0.0,3.0,No,439,GLQ,115,0.0,440,RFn,1969.0,1026,Gd,7930,61.0,0.0,48,8,6,1026,0.0,1969,2005
713,739.0,3.0,No,450,GLQ,241,0.0,506,Unf,1999.0,1452,Gd,3735,35.0,218.0,34,5,7,691,0.0,1999,1999
1050,0.0,3.0,No,915,Rec,135,0.0,368,Unf,1961.0,1050,TA,10659,69.0,0.0,319,6,5,1050,0.0,1961,1961
1282,1414.0,4.0,Av,984,GLQ,280,0.0,792,Unf,2007.0,2696,Ex,9965,77.0,220.0,184,5,7,1264,0.0,2007,2007
1302,0.0,3.0,Gd,270,LwQ,452,0.0,309,RFn,1964.0,1302,Gd,9350,85.0,108.0,0,7,6,1302,0.0,1964,1991
1382,0.0,3.0,Gd,672,Rec,0,0.0,884,Unf,1991.0,1382,TA,19296,120.0,399.0,0,5,6,1362,0.0,1962,1962
1479,0.0,3.0,No,0,Unf,1468,0.0,577,RFn,1999.0,1479,Gd,9382,93.0,125.0,25,5,7,1468,0.0,1999,2000
1462,0.0,4.0,No,1170,GLQ,292,0.0,738,Fin,2004.0,2224,Ex,8834,74.0,216.0,0,5,9,1462,0.0,2004,2005
965,0.0,3.0,No,641,BLQ,187,0.0,300,Unf,1979.0,965,TA,7800,60.0,0.0,0,5,5,828,0.0,1965,1965
1831,1796.0,4.0,Gd,1387,GLQ,543,0.0,807,Fin,1995.0,3627,Gd,35760,118.0,1378.0,76,5,10,1930,0.0,1995,1996
964,0.0,2.0,No,713,ALQ,163,0.0,432,Unf,1921.0,964,TA,13360,80.0,0.0,0,7,5,876,0.0,1921,2006
993,1243.0,4.0,No,0,Unf,964,0.0,642,Fin,1997.0,2236,Gd,13006,69.0,285.0,0,5,7,964,0.0,1997,1997
716,716.0,3.0,No,425,Unf,291,0.0,432,Fin,2004.0,1432,Gd,7795,71.0,0.0,51,5,7,716,0.0,2004,2005
1728,0.0,6.0,No,1332,Rec,396,0.0,504,Unf,1963.0,1728,TA,9100,70.0,336.0,0,5,5,1728,0.0,1963,1963
1258,0.0,2.0,Av,0,Unf,1258,0.0,648,Fin,2007.0,1258,Gd,3922,53.0,72.0,16,5,7,1258,0.0,2006,2007
1256,0.0,3.0,No,830,BLQ,136,0.0,276,Fin,1965.0,1256,TA,9937,75.0,0.0,68,6,5,1256,736.0,1965,1965
848,0.0,1.0,Av,659,GLQ,189,0.0,420,Fin,2003.0,848,Gd,4435,36.0,170.0,0,5,6,848,140.0,2003,2003
832,809.0,3.0,No,16,LwQ,712,234.0,546,Unf,1925.0,1641,Ex,9600,60.0,0.0,0,7,7,728,0.0,1925,1990
1242,0.0,3.0,No,916,ALQ,326,0.0,528,Unf,1973.0,1242,TA,9600,80.0,320.0,0,6,7,1242,0.0,1973,1973
2073,0.0,3.0,No,790,ALQ,589,0.0,500,Unf,1978.0,2073,TA,13175,85.0,119.0,0,6,6,1542,0.0,1978,1988
1504,0.0,2.0,No,16,GLQ,1330,0.0,437,Fin,2005.0,1504,Gd,3182,43.0,14.0,20,5,7,1346,0.0,2005,2006
664,0.0,3.0,Av,554,GLQ,100,0.0,426,RFn,2006.0,1496,Gd,17104,58.0,0.0,24,5,7,654,100.0,2006,2006
960,0.0,3.0,No,520,Rec,440,0.0,432,Fin,1965.0,960,TA,10921,73.0,48.0,0,5,4,960,0.0,1965,1965
925,0.0,3.0,No,338,BLQ,121,0.0,429,Unf,1965.0,925,TA,9100,70.0,0.0,0,6,5,925,0.0,1965,1965
1734,1088.0,3.0,Gd,0,Unf,1734,0.0,1020,RFn,2009.0,2822,Ex,13891,107.0,424.0,170,5,9,1734,0.0,2008,2009
939,858.0,3.0,Av,0,Unf,939,0.0,639,Unf,2006.0,1797,Gd,9245,79.0,0.0,53,5,7,939,144.0,2006,2006
1828,0.0,3.0,Av,48,Unf,1774,0.0,774,Unf,2007.0,1828,Gd,11694,90.0,452.0,108,5,9,1822,0.0,2007,2007
752,0.0,2.0,No,623,ALQ,0,0.0,264,Unf,1984.0,752,TA,7175,50.0,0.0,0,5,6,744,0.0,1984,1984
1285,0.0,3.0,No,0,Unf,660,0.0,528,RFn,1977.0,1285,TA,8197,71.0,148.0,0,5,6,660,0.0,1977,1977
624,720.0,4.0,No,0,Unf,624,0.0,513,Unf,1916.0,1344,TA,4571,34.0,0.0,0,5,5,624,0.0,1916,1950
1236,872.0,4.0,No,626,Rec,501,0.0,540,Unf,1935.0,2108,Gd,13728,120.0,0.0,0,7,6,1127,0.0,1935,1986
1026,932.0,3.0,No,0,Unf,1026,0.0,936,Fin,2005.0,1958,Gd,10625,85.0,0.0,210,5,7,1026,0.0,2005,2005
829,727.0,4.0,No,298,Rec,429,0.0,441,Unf,1968.0,1556,TA,11700,78.0,0.0,0,6,6,727,0.0,1968,1968
1372,0.0,3.0,No,0,Unf,1372,0.0,529,Fin,2008.0,1372,Gd,8640,72.0,0.0,140,5,7,1372,0.0,2007,2008
672,728.0,3.0,No,209,ALQ,463,0.0,440,Fin,1978.0,1400,TA,7844,74.0,203.0,0,7,6,672,0.0,1978,1978
1008,0.0,2.0,No,643,BLQ,365,0.0,240,Unf,1953.0,1008,Gd,8923,66.0,0.0,18,7,5,1008,0.0,1953,2006
1064,703.0,2.0,No,495,GLQ,354,0.0,504,RFn,1987.0,1767,Gd,5306,44.0,0.0,35,7,7,1064,0.0,1987,1987
912,0.0,2.0,Av,773,GLQ,115,0.0,470,RFn,1978.0,912,TA,7540,69.0,0.0,0,6,6,888,0.0,1978,1978
1621,0.0,3.0,Mn,213,ALQ,995,0.0,440,Unf,1984.0,1621,Gd,14145,91.0,0.0,45,7,7,1208,0.0,1984,1998
1110,0.0,3.0,Av,1097,GLQ,0,0.0,602,Fin,1978.0,1110,Gd,9101,69.0,104.0,30,6,5,1097,0.0,1978,1978
1291,1230.0,5.0,No,837,ALQ,105,0.0,576,Unf,1973.0,2521,TA,3964,42.0,0.0,20,4,6,942,0.0,1973,1973
